#GENERATED_BY	cgatools
#GENERATED_AT	2011-Sep-25 11:57:28.488765
#SOFTWARE_VERSION	2.0.0.32
#FORMAT_VERSION	2.0
#TYPE	SV-EVENTS

>EventId	Type	RelatedJunctionIds	MatePairCounts	FrequenciesInBaselineGenomeSet	OriginRegionChr	OriginRegionBegin	OriginRegionEnd	OriginRegionLength	OriginRegionStrand	DestinationRegionChr	DestinationRegionBegin	DestinationRegionEnd	DestinationRegionLength	DestinationRegionStrand	DisruptedGenes	ContainedGenes	GeneFusions	RelatedMobileElement	MobileElementChr	MobileElementBegin	MobileElementEnd	MobileElementStrand
798	deletion	5710	689	0.37	chr10	7077040	7078301	1261	+													
799	deletion	5711	436	0.92	chr10	6411570	6417636	6066	+													
800	complex	5712;5713	21;8	0.83;0.83											PFKFB3							
801	deletion	5718	123	0.96	chr10	4708518	4710522	2004	+						LOC100216001							
802	deletion	5720	457	0.88	chr10	4290063	4291683	1620	+													
803	deletion	5726	12	0.17	chr10	2332824	2333374	550	+													
804	deletion	5727	10	0.00	chr10	1184195	1591344	407149	+						ADARB2;NCRNA00168	C10orf139;LOC100288652;LOC100288677						
805	deletion	5728	30	0.00	chr10	1092427	1093598	1171	+						IDI1							
806	deletion	5729	21	0.54	chr10	839764	840260	496	+													
807	complex	5731;5732	180;404	1.00;1.00											CACNA1B							
808	deletion	5734	28	0.00	chr9	140713063	140714089	1026	+						EHMT1							
809	deletion	5735	19	0.56	chr9	140253509	140255974	2465	+						EXD3							
810	deletion	5736	13	0.81	chr9	139427524	139427795	271	+						NOTCH1							
811	deletion	5738	459	1.00	chr9	138479103	138480202	1099	+													
812	deletion	5739	637	0.85	chr9	138214066	138217606	3540	+													
813	complex	5741;5742	25;7	0.96;0.96											ADAMTSL2							
814	complex	5743;5744	57;7	1.00;1.00																		
815	deletion	5745	13	0.94	chr9	136060728	136061045	317	+													
816	deletion	5749	16	0.40	chr9	132026700	132028084	1384	+													
817	deletion	5750	142	0.48	chr9	131700976	131702208	1232	+						PHYHD1							
818	deletion	5752	21	0.88	chr9	130901012	130902129	1117	+													
819	deletion	5754	487	0.23	chr9	130181622	130186080	4458	+													
820	deletion	5756	35	0.17	chr9	124411502	124411804	302	+						DAB2IP							
821	complex	5760;5761	46;7	0.96;0.96											ASTN2							
822	deletion	5763	11	1.00	chr9	115937097	115937392	295	+						FKBP15							
823	deletion	5765	10	0.83	chr9	112430212	112430527	315	+						PALM2							
824	deletion	5768	225	0.00	chr9	104714846	104724484	9638	+													
825	deletion	5769	230	0.98	chr9	104443969	104444735	766	+						GRIN3A							
826	deletion	5770	313	0.62	chr9	101309048	101311669	2621	+						GABBR2							
827	deletion	5771	17	0.17	chr9	101209346	101209660	314	+						GABBR2							
828	deletion	5772	12	0.85	chr9	100761075	100761405	330	+						ANP32B							
829	deletion	5773	20	0.38	chr9	99062587	99062925	338	+						HSD17B3							
830	deletion	5775	153	0.98	chr9	90858996	90860976	1980	+													
831	deletion	5789	10	0.98	chr9	89799102	89799416	314	+													
832	deletion	5792	26	0.98	chr9	87901416	87901723	307	+													
833	deletion	5793	182	0.00	chr9	84324356	84326934	2578	+													
834	deletion	5794	20	0.52	chr9	83967925	83970691	2766	+													
835	deletion	5796	348	0.08	chr9	78004296	78011803	7507	+													
836	deletion	5798	37	0.98	chr9	71895471	71896631	1160	+													
837	deletion	5799	205	0.79	chr9	71804527	71805001	474	+						TJP2							
838	deletion	5800	175	0.94	chr9	71738121	71743355	5234	+													
839	deletion	5802	32	1.00	chr9	68996436	68997583	1147	+													
840	deletion	5814	18	0.90	chr9	36423664	36423980	316	+													
841	deletion	5815	149	0.83	chr9	36362905	36364103	1198	+						RNF38							
842	deletion	5818	17	0.52	chr9	35803108	35803411	303	+						NPR2							
843	deletion	5819	99	0.71	chr9	33213156	33214015	859	+													
844	deletion	5827	18	1.00	chr9	22999503	22999835	332	+													
845	complex	5829;5830	26;3	0.94;0.94																		
846	deletion	5833	186	0.96	chr9	10404564	10405094	530	+						PTPRD							
847	deletion	5835	22	0.81	chr9	6888787	6889101	314	+						KDM4C							
848	deletion	5838	357	0.00	chr9	320131	322449	2318	+						DOCK8							
849	deletion	5839	103	0.75	chr8	146057073	146057884	811	+						LOC100287297;ZNF7							
850	deletion	5840	21	0.06	chr8	145859597	145860253	656	+													
851	deletion	5844	18	0.96	chr8	144723616	144723948	332	+						ZNF623							
852	deletion	5845	90	0.48	chr8	144700487	144714695	14208	+													
853	deletion	5847	64	0.98	chr8	143494766	143495594	828	+													
854	deletion	5849	11	0.90	chr8	138860829	138861164	335	+						FLJ45872							
855	deletion	5850	366	0.77	chr8	138742967	138743863	896	+													
856	deletion	5851	11	0.54	chr8	137716829	137717155	326	+													
857	deletion	5854	186	0.54	chr8	137160197	137163900	3703	+													
858	deletion	5855	92	0.81	chr8	135082919	135089021	6102	+													
859	deletion	5856	122	0.27	chr8	131850749	131852738	1989	+						ADCY8							
860	deletion	5857	394	1.00	chr8	129465157	129471270	6113	+													
861	deletion	5859	63	0.56	chr8	127192210	127194574	2364	+													
862	deletion	5860	31	0.00	chr8	124669169	127462135	2792966	+							ANXA13;FAM91A1;FER1L6;KIAA0196;LOC157381;LOC650095;MTSS1;NDUFB9;NSMCE2;RNF139;SQLE;TATDN1;TMEM65;TRIB1;TRMT12;ZNF572						
863	deletion	5861	189	0.98	chr8	126595123	126601136	6013	+													
864	deletion	5862	11	0.87	chr8	121854759	121855077	318	+													
865	deletion	5864	65	0.33	chr8	120154544	120161217	6673	+													
866	complex	5867;5868	43;4	1.00;1.00																		
867	deletion	5869	35	0.63	chr8	112294052	112297140	3088	+													
868	deletion	5871	53	0.00	chr8	108985348	108986559	1211	+						RSPO2							
869	deletion	5872	142	0.12	chr8	108781412	108782421	1009	+													
870	deletion	5874	17	0.96	chr8	108120234	108120556	322	+													
871	deletion	5876	12	0.98	chr8	104382914	104383234	320	+													
872	deletion	5880	22	1.00	chr8	98595409	98595748	339	+													
873	complex	5881;5882	47;5	1.00;1.00																		
874	complex	5888;5889	24;4	0.81;0.81																		
875	deletion	5890	14	0.58	chr8	82046246	82046666	420	+													
876	deletion	5894	338	0.98	chr8	73787769	73793827	6058	+						KCNB2							
877	deletion	5895	11	0.92	chr8	72551418	72551752	334	+													
878	deletion	5896	71	0.50	chr8	71583571	71584659	1088	+						XKR9							
879	deletion	5897	10	0.56	chr8	70357628	70357941	313	+													
880	deletion	5898	80	0.00	chr8	70110433	70115157	4724	+													
881	deletion	5899	19	0.25	chr8	69097918	69098337	419	+						PREX2							
882	deletion	5901	148	0.31	chr8	62035360	62035892	532	+													
883	deletion	5902	44	0.98	chr8	59078464	59078800	336	+													
884	deletion	5906	15	0.35	chr8	56107702	56108059	357	+						XKR4							
885	deletion	5907	10	0.52	chr8	54204896	54205212	316	+													
886	deletion	5908	342	0.37	chr8	51031091	51038329	7238	+						SNTG1							
887	deletion	5912	114	0.75	chr8	42190477	42194440	3963	+													
888	deletion	5914	43	0.00	chr8	41457837	41469317	11480	+						AGPAT6							
889	deletion	5916	125	0.33	chr8	40469735	40470384	649	+						ZMAT4							
890	deletion	5920	204	0.92	chr8	37050885	37051859	974	+													
891	deletion	5922	237	0.98	chr8	32680009	32691265	11256	+													
892	deletion	5923	14	1.00	chr8	31571255	31571608	353	+						NRG1							
893	deletion	5926	199	0.54	chr8	29837538	29838285	747	+													
894	deletion	5927	131	0.87	chr8	25066685	25070659	3974	+						DOCK5							
895	deletion	5929	295	0.85	chr8	18651458	18652432	974	+						PSD3							
896	deletion	5930	144	0.94	chr8	18454620	18455953	1333	+						PSD3							
897	deletion	5931	75	0.00	chr8	18148020	18148882	862	+													
898	complex	5934;5935	16;3	0.54;0.54																		
899	deletion	5936	16	0.00	chr8	16733742	16737032	3290	+													
900	interchromosomal	5959	295	0.00	chr7	149242868	149242868	0	+	chr8	143982573	143982573	0	+								
901	deletion	5983	10	0.88	chr8	4222064	4222404	340	+						CSMD1							
902	deletion	5984	43	0.85	chr8	2480525	2480890	365	+													
903	deletion	5989	315	0.90	chr8	1746465	1746950	485	+													
904	deletion	5991	10	0.04	chr8	1398115	1398691	576	+													
905	deletion	5993	267	0.85	chr8	594397	599414	5017	+													
906	deletion	5996	226	0.94	chr7	158046644	158047387	743	+						PTPRN2							
907	deletion	5997	337	0.96	chr7	158029475	158030449	974	+						PTPRN2							
908	deletion	5998	10	0.94	chr7	154941932	154942261	329	+													
909	deletion	6000	12	0.42	chr7	154448700	154449469	769	+						DPP6							
910	deletion	6001	96	0.92	chr7	154153823	154155082	1259	+						DPP6							
911	deletion	6002	95	0.90	chr7	153310138	153310828	690	+													
912	deletion	6006	48	0.85	chr7	148072866	148076326	3460	+						CNTNAP2							
913	deletion	6008	220	0.12	chr7	144916884	144921401	4517	+													
914	deletion	6012	65	0.69	chr7	142360546	142362013	1467	+													
915	deletion	6016	20	0.62	chr7	139109602	139109967	365	+						LOC100129148							
916	deletion	6017	43	0.88	chr7	138296456	138297223	767	+						SVOPL							
917	deletion	6018	221	0.33	chr7	137995515	137996418	903	+													
918	deletion	6022	13	0.54	chr7	135189215	135189549	334	+						CNOT4							
919	deletion	6023	92	0.37	chr7	133785003	133798332	13329	+													
920	deletion	6024	233	0.00	chr7	133136143	133220321	84178	+						EXOC4							
921	deletion	6025	17	1.00	chr7	133107690	133108022	332	+						EXOC4							
922	deletion	6026	116	0.00	chr7	133039960	133040557	597	+						EXOC4							
923	deletion	6032	13	0.83	chr7	127620165	127620483	318	+						SND1							
924	deletion	6033	180	0.79	chr7	126045887	126051448	5561	+													
925	complex	6035;6036	30;8	0.65;0.65											C7orf58							
926	deletion	6037	42	0.98	chr7	118343809	118344164	355	+													
927	deletion	6039	16	0.85	chr7	116842017	116842328	311	+						ST7;ST7OT3							
928	deletion	6041	153	1.00	chr7	113416165	113422211	6046	+													
929	deletion	6042	110	0.00	chr7	111058074	111080417	22343	+						IMMP2L							
930	deletion	6044	26	0.42	chr7	109436689	109453901	17212	+													
931	deletion	6047	10	0.33	chr7	105733993	105734331	338	+						SYPL1							
932	deletion	6048	18	0.77	chr7	104187401	104187732	331	+						LHFPL3							
933	deletion	6049	23	0.62	chr7	104129528	104129809	281	+						LHFPL3							
934	deletion	6051	57	0.60	chr7	102800682	102801402	720	+													
935	deletion	6053	63	0.00	chr7	101081198	101082210	1012	+						EMID2							
936	complex	6055;8605	93;3	1.00;0.10											MUC12							
937	deletion	6057	60	0.35	chr7	96543282	96546598	3316	+						LOC402679							
938	deletion	6058	20	0.54	chr7	96522756	96523084	328	+						LOC402679							
939	deletion	6059	235	0.98	chr7	96475890	96481998	6108	+													
940	deletion	6060	13	0.94	chr7	95386268	95386599	331	+													
941	deletion	6062	107	0.87	chr7	93416941	93423005	6064	+													
942	deletion	6064	113	0.62	chr7	89810409	89812601	2192	+													
943	deletion	6065	13	0.90	chr7	89598884	89599200	316	+													
944	deletion	6066	30	0.90	chr7	89554172	89554592	420	+													
945	deletion	6067	130	0.96	chr7	88091301	88091751	450	+													
946	deletion	6068	11	0.98	chr7	86836629	86836938	309	+						C7orf23;LOC100289677							
947	deletion	6069	13	0.17	chr7	83050169	83051195	1026	+						SEMA3E							
948	deletion	6072	50	0.63	chr7	81441671	81442578	907	+													
949	deletion	6077	37	0.90	chr7	73828674	73831627	2953	+													
950	deletion	6080	235	0.98	chr7	71211904	71212961	1057	+													
951	complex	6082;6083	19;5	0.90;0.90																		
952	deletion	6087	106	0.50	chr7	64413376	64414034	658	+													
953	deletion	6088	139	1.00	chr7	64315815	64318066	2251	+						LOC168474							
954	deletion	6089	10	0.15	chr7	63935871	63936855	984	+													
955	deletion	6100	26	0.00	chr7	56193107	56193612	505	+													
956	deletion	6101	232	0.83	chr7	55286758	55289076	2318	+													
957	deletion	6102	311	0.35	chr7	54596486	54597433	947	+													
958	deletion	6104	28	0.06	chr7	52275101	52275692	591	+													
959	deletion	6105	13	0.96	chr7	52094974	52095287	313	+													
960	deletion	6120	13	0.98	chr7	42549714	42550036	322	+													
961	deletion	6123	14	0.67	chr7	38508472	38508800	328	+						AMPH							
962	deletion	6124	13	0.96	chr7	37998516	37998831	315	+													
963	deletion	6125	14	0.85	chr7	37477290	37477617	327	+						ELMO1							
964	deletion	6126	61	0.00	chr7	37323589	37324878	1289	+						ELMO1							
965	deletion	6127	100	0.63	chr7	36441222	36441996	774	+						ANLN							
966	complex	6128;6129	18;30	1.00;1.00																		
967	deletion	6131	312	0.79	chr7	32390165	32393112	2947	+													
968	deletion	6133	93	0.27	chr7	31523779	31525267	1488	+													
969	deletion	6139	136	0.37	chr7	28574309	28575159	850	+						CREB5							
970	deletion	6144	342	0.00	chr7	25979623	25982553	2930	+													
971	deletion	6145	118	0.29	chr7	25057452	25059861	2409	+													
972	deletion	6146	12	0.96	chr7	25044613	25044942	329	+													
973	deletion	6147	14	0.83	chr7	24677942	24678265	323	+						MPP6							
974	deletion	6149	592	0.65	chr7	22434802	22436762	1960	+													
975	deletion	6151	224	0.58	chr7	16171773	16174072	2299	+						LOC729920							
976	deletion	6152	142	0.02	chr7	16073560	16074411	851	+													
977	deletion	6157	94	0.96	chr7	9634650	9635993	1343	+													
978	deletion	6158	11	0.00	chr7	6137509	6139133	1624	+													
979	deletion	6161	249	0.37	chr7	4081264	4082296	1032	+						SDK1							
980	deletion	6162	13	0.19	chr7	1901187	1901559	372	+						MAD1L1							
981	deletion	6164	99	0.92	chr7	1185073	1187663	2590	+													
982	deletion	6165	85	0.62	chr7	1167422	1169138	1716	+						C7orf50							
983	deletion	6168	14	0.77	chr7	879168	879471	303	+						UNC84A							
984	deletion	6172	54	0.00	chr7	221013	222084	1071	+						FAM20C							
985	deletion	6174	10	0.02	chr7	39523	41414	1891	+													
986	deletion	6175	38	0.27	chr6	167663489	167822207	158718	+							LOC100289559;TCP10;TTLL2;UNC93A						
987	deletion	6176	123	0.56	chr6	167488070	167489615	1545	+													
988	deletion	6179	10	0.92	chr6	159666778	159667101	323	+						FNDC1							
989	deletion	6182	192	0.00	chr6	158548269	158549069	800	+						SERAC1							
990	deletion	6183	68	0.35	chr6	154620006	154621521	1515	+						IPCEF1							
991	deletion	6184	66	0.83	chr6	137313694	137314187	493	+													
992	complex	6188;6190	10;5	0.98;0.79											BCLAF1							
993	deletion	6196	11	0.88	chr6	134817361	134817678	317	+													
994	deletion	6197	129	0.00	chr6	134327491	134537741	210250	+						SGK1;SLC2A12	SGK1	SGK1/SLC2A12					
995	deletion	6198	310	0.56	chr6	134268980	134269728	748	+													
996	deletion	6199	27	0.75	chr6	133371501	133371845	344	+													
997	deletion	6200	52	0.31	chr6	131418002	131418987	985	+													
998	deletion	6206	13	0.90	chr6	116750830	116751149	319	+						DSE							
999	deletion	6212	11	0.90	chr6	105567853	105568188	335	+						BVES							
1000	deletion	6213	228	0.23	chr6	101934559	101939029	4470	+						GRIK2							
1001	deletion	6214	16	0.00	chr6	100938831	101148481	209650	+						ASCC3							
1002	deletion	6215	129	0.98	chr6	100034501	100035321	820	+													
1003	deletion	6218	83	0.58	chr6	95193324	95194338	1014	+													
1004	deletion	6219	181	0.37	chr6	86623833	86625832	1999	+													
1005	deletion	6222	56	0.38	chr6	78967137	79036475	69338	+													
1006	deletion	6224	45	0.56	chr6	77097496	77102645	5149	+													
1007	deletion	6225	156	0.94	chr6	74865437	74866588	1151	+													
1008	deletion	6228	47	0.17	chr6	70720239	70726314	6075	+						COL19A1							
1009	deletion	6229	130	0.13	chr6	69471197	69471722	525	+						BAI3							
1010	complex	6230;9420	74;3	1.00;0.00																		
1011	deletion	6231	221	0.98	chr6	66260035	66262029	1994	+						EYS							
1012	deletion	6232	111	0.31	chr6	63597634	63598985	1351	+													
1013	deletion	6235	26	1.00	chr6	57583689	57590282	6593	+													
1014	deletion	6236	229	1.00	chr6	57478150	57478857	707	+						PRIM2							
1015	deletion	6237	368	1.00	chr6	57423071	57429123	6052	+						PRIM2							
1016	deletion	6238	81	1.00	chr6	57297190	57301246	4056	+						PRIM2							
1017	deletion	6239	135	1.00	chr6	57284911	57289356	4445	+						PRIM2							
1018	deletion	6240	12	1.00	chr6	54864378	54864705	327	+													
1019	deletion	6246	71	0.69	chr6	51739577	51745615	6038	+						PKHD1							
1020	deletion	6249	93	0.62	chr6	51199476	51200126	650	+													
1021	deletion	6250	91	0.00	chr6	49238924	49240669	1745	+													
1022	deletion	6251	130	0.19	chr6	48930946	48938534	7588	+													
1023	deletion	6257	96	0.15	chr6	41618835	41619284	449	+						MDFI							
1024	deletion	6261	12	0.98	chr6	38922199	38922514	315	+						DNAH8							
1025	deletion	6264	69	0.87	chr6	35626434	35629746	3312	+						FKBP5							
1026	deletion	6269	285	0.40	chr6	33126206	33126663	457	+													
1027	deletion	6270	19	0.54	chr6	33093424	33093755	331	+						HLA-DPB2							
1028	deletion	6271	42	0.54	chr6	33026728	33028610	1882	+													
1029	deletion	6272	154	0.85	chr6	32778754	32779820	1066	+													
1030	deletion	6276	22	0.88	chr6	32676574	32677031	457	+													
1031	deletion	6293	132	0.85	chr6	32377904	32378670	766	+													
1032	deletion	6294	10	0.92	chr6	32313783	32314106	323	+						C6orf10							
1033	deletion	6295	20	0.79	chr6	31421503	31424392	2889	+													
1034	deletion	6296	17	0.29	chr6	31292017	31293805	1788	+													
1035	deletion	6297	296	0.98	chr6	31211620	31213120	1500	+													
1036	deletion	6299	17	0.38	chr6	30207929	30208345	416	+													
1037	deletion	6308	190	0.98	chr6	29685488	29688099	2611	+													
1038	deletion	6314	26	0.88	chr6	24811883	24817958	6075	+						FAM65B							
1039	deletion	6316	15	0.63	chr6	23948735	23949339	604	+													
1040	deletion	6317	29	0.37	chr6	23685995	23686324	329	+													
1041	deletion	6318	12	0.87	chr6	23300362	23300684	322	+													
1042	deletion	6322	50	0.79	chr6	19765125	19771203	6078	+													
1043	deletion	6323	81	0.31	chr6	19685577	19686506	929	+													
1044	deletion	6325	13	0.00	chr6	17696250	17701902	5652	+						NUP153							
1045	deletion	6327	89	0.25	chr6	17377018	17381543	4525	+													
1046	deletion	6328	25	0.23	chr6	16884968	16886096	1128	+													
1047	deletion	6329	19	0.92	chr6	14745281	14745697	416	+													
1048	deletion	6331	21	1.00	chr6	11556106	11556426	320	+						TMEM170B							
1049	deletion	6336	121	0.00	chr6	8925205	8932897	7692	+													
1050	deletion	6337	131	0.27	chr6	8337724	8341569	3845	+													
1051	deletion	6339	124	0.00	chr6	7781563	7782512	949	+						BMP6							
1052	deletion	6340	15	1.00	chr6	7717384	7717719	335	+													
1053	deletion	6341	161	0.00	chr6	1720003	5740895	4020892	+						FARS2;GMDS	BPHL;C6orf145;C6orf146;C6orf195;C6orf201;CDYL;DKFZP686I15217;FAM136B;FAM50B;KU-MEL-3;LOC100128372;LOC100129033;LOC100129461;LOC100129626;LOC100131504;LOC100132153;LOC100287565;LOC100288376;LOC100288414;LOC100288606;LOC100288968;LOC100289364;LOC100289494;LOC100289591;LOC401233;LOC442155;LOC643327;LYRM4;MGC39372;MYLK4;NQO2;PECI;PPP1R3G;PRPF4B;PSMG4;RIPK1;RPP40;SERPINB1;SERPINB6;SERPINB9;SLC22A23;TUBB2A;TUBB2B;WRNIP1						
1054	deletion	6342	85	0.71	chr6	5135351	5135799	448	+						LYRM4							
1055	deletion	6343	270	0.88	chr6	5037249	5039186	1937	+						LOC100129461							
1056	deletion	6344	15	0.98	chr6	4050257	4050576	319	+						PRPF4B							
1057	deletion	6346	15	0.94	chr6	1682801	1683112	311	+						GMDS							
1058	deletion	6348	68	0.60	chr6	857170	857779	609	+													
1059	deletion	6349	536	0.73	chr6	666376	667821	1445	+						EXOC2							
1060	deletion	6353	47	0.85	chr5	177821926	177823862	1936	+						COL23A1							
1061	deletion	6354	20	0.00	chr5	177522275	177524081	1806	+													
1062	deletion	6356	43	0.79	chr5	176387588	176390188	2600	+						UIMC1							
1063	deletion	6360	26	0.85	chr5	172889728	172890061	333	+													
1064	deletion	6364	15	0.85	chr5	158592408	158592753	345	+						RNF145							
1065	deletion	6365	188	0.94	chr5	151456421	151462447	6026	+													
1066	deletion	6367	13	0.92	chr5	149746204	149746530	326	+						TCOF1							
1067	deletion	6369	17	0.63	chr5	146622652	146623085	433	+						STK32A							
1068	complex	6371;6372	278;82	0.98;0.98											KLHL3							
1069	deletion	6373	88	1.00	chr5	136854716	136856432	1716	+													
1070	deletion	6374	26	0.77	chr5	127172332	127173282	950	+						LOC728586							
1071	deletion	6376	13	0.73	chr5	124717358	124717680	322	+													
1072	deletion	6378	106	0.85	chr5	119380146	119382680	2534	+													
1073	complex	6384;6700;6839;8862;9460	3;7;292;5;3	0.04;0.02;1.00;0.02;0.00											CNTNAP2;SPSB4;ZDHHC15							
1074	complex	6671;6838	13;64	0.35;1.00																		
1075	complex	6707;6949;8847	16;179;18	0.71;1.00;0.94																		
1076	deletion	6748	19	0.94	chr5	115130467	115130816	349	+													
1077	deletion	6749	86	0.48	chr5	114969485	114969960	475	+													
1078	deletion	6751	277	0.90	chr5	114756501	114757892	1391	+													
1079	deletion	6753	15	0.48	chr5	113459055	113459378	323	+													
1080	deletion	6759	10	0.63	chr5	98345117	98347482	2365	+													
1081	deletion	6761	11	1.00	chr5	95909731	95910077	346	+													
1082	deletion	6762	21	0.98	chr5	95343326	95343680	354	+													
1083	deletion	6764	158	0.81	chr5	90499775	90502098	2323	+													
1084	deletion	6766	104	0.31	chr5	87378882	87382066	3184	+													
1085	deletion	6767	143	0.42	chr5	86115337	86117858	2521	+													
1086	deletion	6768	12	0.88	chr5	82906075	82906394	319	+													
1087	deletion	6769	19	0.12	chr5	82063486	82066213	2727	+													
1088	deletion	6771	12	0.77	chr5	80751156	80751485	329	+						SSBP2							
1089	deletion	6774	12	0.98	chr5	77105232	77105562	330	+													
1090	deletion	6777	12	0.98	chr5	73648996	73649314	318	+													
1091	deletion	6779	10	0.79	chr5	64286070	64286407	337	+						SDCCAG10							
1092	deletion	6781	182	0.63	chr5	60001709	60003670	1961	+													
1093	deletion	6783	12	0.17	chr5	57777634	57778182	548	+													
1094	deletion	6784	207	1.00	chr5	57680001	57686096	6095	+													
1095	deletion	6785	124	0.98	chr5	57323478	57333780	10302	+													
1096	deletion	6786	13	0.96	chr5	53176941	53177246	305	+													
1097	deletion	6787	51	0.25	chr5	50234387	50239472	5085	+													
1098	deletion	6789	61	0.52	chr5	42628540	42631219	2679	+						GHR							
1099	deletion	6790	196	0.85	chr5	42165936	42167777	1841	+													
1100	deletion	6793	11	0.81	chr5	33355574	33355905	331	+													
1101	deletion	6794	18	0.98	chr5	31677441	31677762	321	+													
1102	deletion	6795	71	0.67	chr5	26796701	26801899	5198	+													
1103	deletion	6796	18	1.00	chr5	26111203	26111529	326	+													
1104	deletion	6798	12	0.21	chr5	25316212	25316519	307	+													
1105	deletion	6800	90	0.00	chr5	24370529	24373438	2909	+													
1106	deletion	6804	172	0.60	chr5	19375269	19376396	1127	+													
1107	deletion	6807	457	0.46	chr5	13416595	13422857	6262	+													
1108	deletion	6808	135	0.46	chr5	12811019	12820525	9506	+													
1109	deletion	6809	39	0.00	chr5	12366801	12367425	624	+													
1110	deletion	6810	11	1.00	chr5	11339042	11339366	324	+						CTNND2							
1111	deletion	6812	17	0.92	chr5	10574956	10575301	345	+						ANKRD33B							
1112	deletion	6813	16	0.23	chr5	10273600	10275444	1844	+													
1113	deletion	6815	21	1.00	chr5	9411774	9412088	314	+						SEMA5A							
1114	deletion	6816	44	0.02	chr5	8702819	8748964	46145	+													
1115	deletion	6819	12	0.92	chr5	3502327	3502655	328	+													
1116	deletion	6820	193	0.94	chr5	1968402	1971590	3188	+													
1117	deletion	6821	42	0.44	chr5	1951094	1951526	432	+													
1118	deletion	6823	347	0.90	chr5	1924591	1925203	612	+													
1119	deletion	6826	183	0.00	chr5	1301060	1341250	40190	+						CLPTM1L							
1120	deletion	6830	26	0.79	chr5	668126	668608	482	+						LOC100132605;TPPP							
1121	deletion	6832	187	0.85	chr5	487117	487676	559	+						SLC9A3							
1122	deletion	6833	13	0.31	chr5	467721	468641	920	+													
1123	deletion	6840	66	0.92	chr4	190656421	190657531	1110	+													
1124	deletion	6841	40	1.00	chr4	190624640	190624987	347	+													
1125	complex	6842;6843	30;13	1.00;1.00																		
1126	deletion	6850	12	0.98	chr4	190291431	190291750	319	+													
1127	deletion	6852	161	0.94	chr4	190105507	190106313	806	+													
1128	deletion	6855	10	0.12	chr4	188225691	188226303	612	+													
1129	deletion	6859	65	0.71	chr4	187093487	187098241	4754	+						FAM149A							
1130	deletion	6860	236	0.71	chr4	186441637	186444075	2438	+						PDLIM3							
1131	deletion	6861	11	1.00	chr4	185665782	185666100	318	+													
1132	deletion	6862	84	0.31	chr4	184674433	184675893	1460	+													
1133	deletion	6864	76	0.35	chr4	184655830	184658982	3152	+													
1134	deletion	6866	36	0.40	chr4	184257947	184258577	630	+													
1135	deletion	6867	250	0.67	chr4	182056561	182057131	570	+													
1136	deletion	6868	264	1.00	chr4	181876795	181878297	1502	+													
1137	deletion	6873	48	0.96	chr4	173425032	173433520	8488	+						GALNTL6							
1138	deletion	6875	135	0.00	chr4	172930124	172930852	728	+						GALNTL6							
1139	deletion	6876	132	0.75	chr4	172374412	172379426	5014	+													
1140	deletion	6877	21	0.79	chr4	170278464	170278885	421	+													
1141	deletion	6878	151	0.19	chr4	168371943	168373139	1196	+													
1142	deletion	6879	98	0.85	chr4	167677048	167683083	6035	+						SPOCK3							
1143	deletion	6881	54	0.92	chr4	166002668	166005106	2438	+						TMEM192							
1144	deletion	6886	41	0.23	chr4	149990582	149992581	1999	+													
1145	deletion	6887	191	0.37	chr4	146438813	146440457	1644	+						SMAD1							
1146	deletion	6889	59	0.00	chr4	137792436	137819318	26882	+													
1147	deletion	6891	91	0.81	chr4	135433029	135435701	2672	+													
1148	deletion	6892	64	1.00	chr4	134132393	134133025	632	+													
1149	deletion	6894	88	0.00	chr4	124943555	124945189	1634	+													
1150	deletion	6897	10	0.87	chr4	120017252	120017572	320	+													
1151	deletion	6899	201	0.63	chr4	115928723	115931877	3154	+						NDST4							
1152	deletion	6900	30	0.79	chr4	113985914	113986409	495	+						ANK2							
1153	deletion	6901	15	0.96	chr4	111383202	111383534	332	+													
1154	deletion	6902	115	0.85	chr4	108276701	108279509	2808	+													
1155	deletion	6903	170	1.00	chr4	108127814	108131720	3906	+													
1156	deletion	6907	12	1.00	chr4	100070304	100070620	316	+													
1157	deletion	6908	18	0.92	chr4	100023050	100023385	335	+													
1158	deletion	6911	15	0.65	chr4	97572114	97572433	319	+													
1159	deletion	6913	165	0.00	chr4	94559454	94565505	6051	+						GRID2							
1160	deletion	6914	119	0.94	chr4	91596797	91602920	6123	+						KIAA1680							
1161	deletion	6916	172	0.81	chr4	88483887	88486316	2429	+													
1162	deletion	6917	73	0.48	chr4	88268260	88274315	6055	+						HSD17B11							
1163	deletion	6918	10	1.00	chr4	86660769	86661091	322	+						ARHGAP24							
1164	deletion	6919	14	1.00	chr4	81991530	81991851	321	+													
1165	deletion	6922	242	0.87	chr4	79269127	79275202	6075	+						FRAS1							
1166	deletion	6923	34	0.69	chr4	73831249	73831821	572	+													
1167	deletion	6929	42	0.88	chr4	64783593	64784563	970	+													
1168	deletion	6932	78	0.00	chr4	61939191	61942245	3054	+													
1169	deletion	6934	193	0.77	chr4	58887276	58888334	1058	+													
1170	deletion	6935	15	0.94	chr4	58148030	58148356	326	+													
1171	complex	6936;6937	41;3	1.00;0.00																		
1172	deletion	6938	12	0.63	chr4	55482436	55482757	321	+													
1173	deletion	6940	208	0.75	chr4	46055997	46058202	2205	+						GABRG1							
1174	deletion	6941	14	1.00	chr4	44509394	44509712	318	+													
